Id,Name,Timestamp,RunTimestamp,LastRunTime
101,00.01 SETUP DSF: Set Valuation Date,1/30/2020 13:24,1/21/2023 3:03,00:00:00
102,07.00 SETUP DLM: Direct DL Macro,12/5/2022 21:41,1/21/2023 5:15,00:28:12
112,04.00 SETUP DLM: Import Other Benefit Information,12/16/2022 10:57,1/21/2023 4:40,00:03:49
115,03.00 SETUP DLM: Import Current Fund Values,2/12/2020 10:16,1/21/2023 4:36,00:25:15
116,05.00 SETUP DLM: Import Scenarios,10/31/2022 14:53,1/21/2023 3:15,00:12:05
123,08.00 IFRS4 PROJ DSM: Run IUL Projection BOP,12/16/2020 13:38,11/25/2019 2:42,01:42:20
124,00.00.01 SETUP SO: NLG Seriatim Override IFRS,6/10/2021 16:57,1/21/2023 5:45,00:11:05
125,99.00 RPTG DSF: Call IUL SAT Executable,2/10/2020 14:12,3/26/2020 23:18,00:03:40
126,08.03 IFRS4 PROJ SBT: Run IUL 099 Matching,12/30/2020 8:26,,
127,08.04 RPTG BO: IUL Scen Export for 099 Matching,2/10/2020 13:50,,
128,08.13 IFRS4 PROJ SBT: Run 003 Bridge,12/30/2020 8:27,,
129,08.14 RPTG BO: IUL Scen Export for 003 Bridge,2/10/2020 13:58,,
130,09.00 IFRS4 EXECUTION DSM: Run IUL EOP,12/9/2020 23:54,9/13/2022 7:54,07:30:12
132,09.03 IFRS4 PROJ SBT: Run IUL 001 EOP,12/30/2020 8:27,9/13/2022 7:54,06:44:23
133,09.04 RPTG BO: IUL Scen Export for EOP,2/10/2020 14:04,,
134,90.00 Run IFRS4 Projection EOP Det,12/9/2020 23:57,3/26/2020 23:18,00:57:02
135,90.02 Run IFRS4 Projection EOP Det,7/21/2021 9:20,3/26/2020 23:14,00:44:44
136,90.03 Scenario Export: 001 Det,2/10/2020 14:14,3/26/2020 23:14,00:00:03
137,90.01 Set Attribution Step,12/9/2020 23:53,3/26/2020 22:21,00:00:00
144,09.01 SETUP DSF: Set IUL Attribution Step EOP,12/9/2020 23:49,9/13/2022 0:24,00:00:02
145,08.01 SETUP DSF: Set IUL Attribution Step Matching,12/9/2020 23:48,11/25/2019 17:35,00:00:01
146,08.11 SETUP DSF: Set IUL Attribution Step Bridge,12/9/2020 23:49,11/25/2019 17:35,00:00:01
147,08.03 STAT RPTG DLM: IUL Create KC2A CFile,2/12/2020 10:16,10/24/2022 21:02,00:03:21
149,99.99 Run Valuation and Projection DET,9/28/2020 1:27,3/26/2020 23:18,01:45:31
150,99.99 Run Valuation and Projection Stoch,9/28/2020 1:27,,
151,94.01.41 IFRS17 SETUP BIFFS: Import Scens to MDF,4/20/2020 17:51,11/3/2022 16:04,00:00:03
153,94.01.42 IFRS17 SETUP BIFFS: Import Scens to AXIS,11/3/2022 16:05,3/7/2022 16:18,00:00:02
155,94.01.20 IFRS17 SETUP SO: PIT Updates,11/4/2022 16:33,12/3/2019 12:19,00:08:43
156,94.01.80 IFRS17 PROJ SBT: Distribute by Targets,11/3/2022 15:56,,
157,94.02.20 IFRS17 RPTG DLM: Export Report Group Map,2/12/2020 10:16,11/4/2022 19:02,00:00:03
175,08.04 STAT RPTG DLM: IUL Create OB CFiles,6/11/2020 10:05,10/24/2022 21:02,00:00:09
231,09.03.01 IFRS4 PROJ SBT: Run IUL Up20Lapse,12/30/2020 8:28,,
247,08.01 STAT PROJ SBT: Run IUL Base & OB Valuation,7/6/2021 14:06,10/24/2022 20:42,00:30:40
250,09.05 RPTG DLM: Create IUL 005 NB SAT Feed,2/13/2020 16:06,2/21/2020 16:03,00:00:12
252,99.01 RPTG DSF: Call IUL SAT Executable 005 NB,2/13/2020 8:56,2/21/2020 16:09,00:00:58
253,999 Clean Dataset,12/15/2022 10:27,12/6/2022 19:53,00:04:42
254,08.02 STAT PROJ SBT: Run IUL Non LTC Valuation,7/6/2021 14:07,10/24/2022 20:59,00:17:11
256,94.01.40 IFRS17 SETUP DSM: Scenario,4/20/2020 18:06,,
257,94.01.80 IFRS17 PROJ SBT: Distribute by Cells,11/3/2022 15:55,,
258,94.01.11 IFRS17 SETUP DLF: NB Update NB PIT,11/29/2022 12:28,,
259,94.01.12 IFRS17 SETUP DLF: NB Update NB Fund Value,11/29/2022 12:28,,
260,94.01.10 IFRS17 SETUP DLM: NB,10/21/2022 15:02,,
263,94.02.40 IFRS17 RPTG DLM: Export Control Tables,11/10/2022 16:59,,
264,94.01.00 IFRS17 EXECUTION DSF: Setup & Projection,11/29/2022 17:16,,
265,92.01.01 MVN Import Scen to AXIS,6/15/2021 14:15,8/31/2020 12:15,00:33:34
266,92.01.02 MVN Import Bridge Scen to AXIS,6/15/2021 14:17,8/31/2020 12:31,00:06:21
267,92.01.03 MVN Import Year End Scen to AXIS,6/15/2021 14:17,8/31/2020 15:44,02:50:56
268,92.02 MVN Seriatim Datalink,3/6/2021 11:03,,
269,92.03.01 MVN Seriatim NPV Calculation,3/6/2021 10:58,,
270,92.03.02 MVN Seriatim NPV Export,8/31/2020 16:50,,
271,92.03 MVN Seriatim Proj and NPV Calc,3/6/2021 11:03,,
272,92.04.01 MVN Export Weight To SQL,1/24/2022 16:34,,
273,92.04 MVN Convexinator,8/31/2020 16:58,,
274,92.05.01 MVN Policy With Positive Weight,11/29/2022 12:30,,
275,92.05.02 MVN Policy With Zero Weight,10/21/2022 15:03,,
276,92.05 MVN Compressed Datalink,10/21/2022 15:04,,
277,92.06.01 MVN Stoch UR Shock Run,12/11/2020 13:22,,
278,92.99 MVN DLLFEED Export,8/31/2020 17:16,,
279,92.98 MVN DLLCall,8/31/2020 17:17,,
280,92.06 MVN Stoch BOP,12/10/2020 0:06,,
281,92.07.01 MVN Stoch Bridge UR Shock Run,12/11/2020 13:23,,
282,92.07 MVN Stoch Bridge,12/10/2020 0:06,,
283,92.08 MVN Stoch UR,12/10/2020 0:06,,
284,92.09.01 MVN Stoch PC Shock Run,12/11/2020 13:23,,
285,92.09 MVN Stoch PC,12/10/2020 0:06,,
286,92.10.01 MVN Stoch 100D/U and E10D/U UR Shock Run,12/11/2020 13:26,,
287,92.10 MVN Stoch 100D/U and E10D/U UR,12/10/2020 0:07,,
288,92.11.01 MVN Stoch 100D/U and E10D/U PC Shock Run,12/11/2020 13:24,,
289,92.11 MVN Stoch 100D/U and E10D/U PC,12/10/2020 0:07,,
290,92.12.01 MVN Calibration Run,12/11/2020 13:24,,
291,92.12 MVN Calibration,12/10/2020 12:45,,
292,92.00.01 MVN BOP,12/10/2020 0:02,,
293,92.00.02 MVN Bridge,8/31/2020 17:41,,
294,92.00.03 MVN EOP,12/10/2020 0:03,,
295,92.00.04 MVN Sensitivity,8/31/2020 17:44,,
296,92.00.05 MVN Sensitivity PC,8/31/2020 17:45,,
297,92.00.06 MVN Calibration,8/31/2020 17:45,,
298,93.01.05 VM20 SETUP SO - No Cell Hedge & 0 NLG,6/15/2021 14:18,,
299,93.01.03 VM20 SETUP DF - Change to VM20 Scen,12/27/2020 16:13,,
300,93.04.01 VM20 SETUP SSSG - Stochastic,9/27/2020 11:23,9/25/2020 15:32,00:00:02
301,93.04.02 VM20 SETUP SSSG - Deterministic,9/27/2020 11:23,9/25/2020 15:32,00:00:01
303,93.02.01 Imp/Exp Macro - Read Pivot Table Temp,9/21/2020 12:11,,
304,93.02.02 VM20 SETUP DLM - Set ValDate First Pivot,9/21/2020 14:01,,
305,93.02.03 VM20 SETUP IEM - Import Pivot Table,9/21/2020 14:02,,
306,93.02.00 Dataset Macro - Update Pivots for ValDate,10/12/2020 15:25,,
307,15.01.01 ASSET SETUP CDF - Existing bond,2/17/2022 15:55,2/17/2022 15:56,00:00:07
308,15.01.02 ASSET SETUP CDF - Existing mortgage,2/17/2022 15:55,2/17/2022 15:56,00:00:00
309,15.01.03 ASSET SETUP CDF - Existing equity,11/22/2020 19:39,2/17/2022 15:56,00:00:00
310,15.01.04 ASSET SETUP CDF - Existing epa,2/17/2022 15:55,2/17/2022 15:56,00:00:00
311,15.01.05 ASSET SETUP CDF - Existing cmo,2/17/2022 15:55,2/17/2022 15:56,00:00:00
312,15.01.06 ASSET SETUP CDF - Existing intc,6/7/2021 12:36,2/17/2022 15:56,00:00:00
313,15.01.07 ASSET SETUP CDF - Unwind bond,6/7/2021 12:37,2/17/2022 15:56,00:00:00
314,15.01.08 ASSET SETUP CDF - Reinvest bond,2/17/2022 16:03,2/17/2022 16:03,00:00:00
315,15.01.09 ASSET SETUP CDF - Reinvest mortgage,2/17/2022 15:56,2/17/2022 15:56,00:00:00
316,15.01.10 ASSET SETUP CDF - Reinvest equity,11/22/2020 19:42,2/17/2022 15:56,00:00:00
