,scenario_no,t,disc,premiums_first_year,premiums_renewal,claims,fire_gmm.premium,fire_gmm.claim,fire_gmm.investment_component,fire_gmm.expense,fire_gmm.acquisition,ess_weights
0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1,1,1,0.999600159936026,0.0,0.0,5.0,0.0,-5.0,0.0,0.0,0.0,0.5011469033609255
2,1,2,0.999200479744128,0.0,0.0,10.0,0.0,-10.0,0.0,0.0,0.0,0.5022937946529373
3,1,3,0.998800959360384,0.0,0.0,15.0,0.0,-15.0,0.0,0.0,0.0,0.5034406618076301
4,1,4,0.998401598720896,0.0,0.0,20.0,0.0,-20.0,0.0,0.0,0.0,0.5045874927576138
5,1,5,0.998002397761791,0.0,0.0,25.0,0.0,-25.0,0.0,0.0,0.0,0.5057342754370232
6,1,6,0.997603356419223,0.0,0.0,30.0,0.0,-30.0,0.0,0.0,0.0,0.5068809977820233
7,1,7,0.997204474629372,0.0,0.0,35.0,0.0,-35.0,0.0,0.0,0.0,0.5080276477313198
8,1,8,0.99680575232844,0.0,0.0,40.0,0.0,-40.0,0.0,0.0,0.0,0.5091742132266629
9,1,9,0.996407189452659,0.0,0.0,45.0,0.0,-45.0,0.0,0.0,0.0,0.5103206822133582
10,1,10,0.996008785938284,0.0,0.0,50.0,0.0,-50.0,0.0,0.0,0.0,0.5114670426407703
11,1,11,0.995610541721596,0.0,0.0,55.0,0.0,-55.0,0.0,0.0,0.0,0.5126132824628308
12,1,12,0.9952124567389,0.0,6792.0,60.0,6792.0,-60.0,0.0,0.0,0.0,0.5137593896385434
13,1,13,0.994814530926529,0.0,0.0,65.0,0.0,-65.0,0.0,0.0,0.0,0.5149053521324902
14,1,14,0.994416764220841,0.0,0.0,70.0,0.0,-70.0,0.0,0.0,0.0,0.5160511579153366
15,1,15,0.994019156558218,0.0,0.0,75.0,0.0,-75.0,0.0,0.0,0.0,0.5171967949643348
16,1,16,0.993621707875068,0.0,0.0,80.0,0.0,-80.0,0.0,0.0,0.0,0.518342251263829
17,1,17,0.993224418107825,0.0,0.0,85.0,0.0,-85.0,0.0,0.0,0.0,0.5194875148057578
18,1,18,0.992827287192948,0.0,0.0,90.0,0.0,-90.0,0.0,0.0,0.0,0.5206325735901566
19,1,19,0.992430315066921,0.0,0.0,95.0,0.0,-95.0,0.0,0.0,0.0,0.5217774156256604
20,1,20,0.992033501666255,0.0,0.0,100.0,0.0,-100.0,0.0,0.0,0.0,0.5229220289300042
21,1,21,0.991636846927484,0.0,0.0,105.0,0.0,-105.0,0.0,0.0,0.0,0.5240664015305231
22,1,22,0.991240350787169,0.0,0.0,110.0,0.0,-110.0,0.0,0.0,0.0,0.5252105214646521
23,1,23,0.990844013181896,0.0,0.0,115.0,0.0,-115.0,0.0,0.0,0.0,0.5263543767804244
24,1,24,0.990447834048277,0.0,13584.0,120.0,13584.0,-120.0,0.0,0.0,0.0,0.5274979555369693
25,1,25,0.990051813322948,0.0,0.0,125.0,0.0,-125.0,0.0,0.0,0.0,0.5286412458050089
26,1,26,0.989655950942571,0.0,0.0,130.0,0.0,-130.0,0.0,0.0,0.0,0.5297842356673523
27,1,27,0.989260246843833,0.0,0.0,135.0,0.0,-135.0,0.0,0.0,0.0,0.5309269132193912
28,1,28,0.988864700963448,0.0,0.0,140.0,0.0,-140.0,0.0,0.0,0.0,0.5320692665695945
29,1,29,0.988469313238153,0.0,0.0,145.0,0.0,-145.0,0.0,0.0,0.0,0.5332112838399973
30,1,30,0.988074083604711,0.0,0.0,150.0,0.0,-150.0,0.0,0.0,0.0,0.5343529531666948
31,1,31,0.987679011999911,0.0,0.0,155.0,0.0,-155.0,0.0,0.0,0.0,0.5354942627003305
32,1,32,0.987284098360567,0.0,0.0,160.0,0.0,-160.0,0.0,0.0,0.0,0.5366352006065852
